"Data Source","World Development Indicators",

"Last Updated Date","2022-04-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","5754.50790524329","6909.22071843187","8552.54954825978","10106.0179630337","10991.8159058869","12069.2208991384","12539.1943006957","13240.624676904","14412.510525324","14475.9553330404","14557.4921223484","15636.1309511373","16895.196969974","16911.2717461512","18246.2204954601","17925.3194628618","16885.9202109716","18081.3206151305","19400.9506709132","16120.6122445547","20432.1751145182","19273.444635169","23112.3798850554","21305.5875473754","19572.3403726197","19757.2693847946","20902.2094906372","21935.8315292036","22943.7777811702","23875.634915937","23812.0299665776","24267.9450754314","24682.0444977042","","","",
"Africa Eastern and Southern","AFE","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","505.269483197283","461.757209094906","485.809700014174","439.46501725287","352.263978429273","378.554715347986","453.02793135807","477.069179699087","485.479835492045","522.744436982049","540.639573982684","543.360914585611","561.107855693578","558.048057166441","615.363272219885","604.933569956941","623.506530966229","571.569524101626","553.913773052838","579.222933536723","501.745162793821","495.78486683996","651.002782710174","788.996114099386","883.573895630799","942.45580097287","1008.53230778325","984.813514145502","1069.59840491116","1221.22653972704","1326.46401601384","1313.1967835147","1302.59481046431","1316.28750528916","1235.07091720361","1160.40133068688","1265.36884485074","1272.36318013882","1246.93812323854","1089.33214353835","",
"Afghanistan","AFG","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","148.531898000852","151.398754671944","128.702394713644","135.495005506166","163.958931834804","175.032349070679","184.999718320653","210.253440444317","231.977942360764","257.431552426086","252.93453340484","246.370095987768","","","","","","","","","","","","","","","","","","","","","","","","","","","","397.648707531198","493.264893862948","536.941345547039","581.623245252527","570.275333816641","560.813478017083","511.953157490696","473.965477796278","481.134264415615","447.980128414172","459.522779995724","474.173571919926","",
"Africa Western and Central","AFW","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","195.501525812282","137.718495132944","163.303191776657","194.565767525997","245.039452010163","294.122381054604","353.908018976267","353.555021394994","383.859417330691","399.20425127529","521.461839546032","1121.99335148587","984.3267263071","696.725820119655","545.671451642336","536.01337784601","497.039877988548","480.28739147813","474.972783707273","396.242336566521","449.021780014603","444.013697183515","429.780441504397","342.289360847407","292.864305832764","358.733304163694","383.831299116218","384.284372229031","400.63222458189","415.681455933174","371.391738209574","408.133066025067","485.468602923655","538.210814809222","630.67863844826","733.021780318546","960.377150875821","1092.51806990491","1281.15330079437","1168.72102153752","1264.34738567686","1344.38448374556","1453.89648304392","1641.21282848546","1729.33680098089","1570.58652770779","1395.43892083615","1310.8789552025","1354.64590388304","1432.70973553075","1379.36621738217","",
"Angola","AGO","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","530.616597206377","548.016998309478","464.373802085837","441.630451500598","644.359685782903","546.825748820015","","","","-8.90180681618221","179.874111920736","178.01621508771","255.503774873551","263.920871919219","159.901282025999","203.736291451473","261.991561972383","558.382759503763","661.736248383898","681.493329451457","932.128133734113","1265.68887537218","1403.17627621635","1326.74496119863","1785.25493361086","1755.16655892189","2309.0266219143","2729.57282790963","3059.78949807262","3489.04609995044","3134.60404539821","2627.97366749237","2857.21440525996","2006.18357821418","1690.70145716237","1089.69557118714","",
"Albania","ALB","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","461.437534326992","458.321757891682","548.187783046345","514.333039314617","499.721576630144","525.391904896685","471.979996861193","247.392275971448","135.452554693674","315.43672009974","507.79651939369","667.110509930739","912.54964843978","640.820869194811","747.513419103326","947.504492569257","1037.50539788078","1184.24480199817","1304.98658185347","1695.27381393984","2166.05110344435","2431.70614028901","2736.18266375576","3228.29472778103","3834.89881143102","3512.41004362752","3495.84421381834","3728.04779008459","3503.24351020314","3760.37690738146","3844.33754444835","3267.21751521694","3443.31022429352","3712.73301736609","4318.91149189977","4337.13108250086","4207.1935335736","",
"Andorra","AND","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","1359.94678737851","1484.80436462358","1489.05839833544","1378.55202983111","1340.92025852942","1294.34725416515","1270.52054846644","1281.10971398898","1258.48068289904","1251.77918969892","1684.91057420647","1613.40190598293","1751.34076423858","1715.5338076782","1701.02204755665","1829.64956028657","1941.48326771231","2071.96674283624","2015.02167165715","2158.50886382749","2324.94776129631","2276.87104525812","2259.98621550648","2396.78404680769","2756.23966969626","3182.65235535788","3726.09779533351","4320.80872584481","5202.69819425959","4666.53070894307","5255.4114867704","5345.25043772018","5785.55439299495","5864.07263311706","5896.80739313558","5229.47201071428","5103.94412104763","5046.46688087492","5361.88798418492","5399.04658917187","4858.16162651706","",
"United Arab Emirates","ARE","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30445.268285075","29043.9210064678","28201.8082357255","29583.5762674783","32194.1534671073","33304.6738921018","35908.6054138362","36673.2275812593","37374.2828809474","27384.8911416171","30508.2198800259","34549.933341233","36056.3247065428","37919.6972810851","39312.4030088846","35649.4372524912","35492.7650931731","37747.5236955803","40036.8280158541","38920.1508234302","33416.4510008503","",
"Argentina","ARG","Adjusted net national income per capita (current US$)","NY.ADJ.NNTY.PC.CD","","","","","","","","","","","1194.69567995765","1301.19478080519","1294.84775825319","1965.66796979674","2640.80177621343","1889.26107665059","1782.00028076751","1941.24581428633","1944.85268803213","2225.59293285138","2406.61609213308","2397.52370572683","2476.86760334898","3026.82529766252","2267.23751309012","2489.45100290566","3174.77526034408","3104.83458825565","3485.70589596222","1925.0711948956","3697.16260535363","5036.78752513997","6067.00967809389","6187.31802933073","6579.73446295196","6396.36537535517","6695.9793741093","7078.34550070428","7119.55257248323","6553.84035356495","6435.74201865281","5997.86990986165","1986.41321243331","2681.6354454693","3177.14289977164","3786.51702233054","4867.58103129801","6098.52295194009","7569.84437134691","6840.67336138355","8619.86820041165","10693.7477589384","10837.0598328178","10847.6808775679","10223.7422010948","11697.1202550794","10806.4555443322","12500.4062818414","9817.46773406481","8273.3557139799","7190.4253677942","",
